Country,Region,City,Population,Census_Year,Census_Date,Budget_USD,Actual_Spent_USD,Delay_Days,Census_Status,Supervisor,Households_Surveyed,Field_Workers,Data_Quality_Score
Canada,Central,City_17,271123,1997,03/08/1997,3394377.49,3428740.86,,In Progress,John Doe,9549,22,60.93
India,West,City_321,1458506,2019,12/06/2019,4690405.09,4689539.19,,Completed,Wei Zhang,6959,11,55.8
UK,Central,City_16,1072249,2020,28/04/2020,3906969.91,3926150,48,In Progress,John Doe,2127,12,50.97
India,Central,City_74,2686120,2015,06/12/2015,1341812.52,1351607.32,0,In Progress,Jane Smith,5452,35,98.07
Canada,South,City_232,4376416,1997,24/01/1997,3805415.5,3832416.46,,In Progress,Jane Smith,7841,8,64.06
China,East,City_357,1722440,2004,15/07/2004,1945862.82,1956288,0,Delayed,,8767,2,88.14
Brazil,North,City_182,2121156,2003,27/09/2003,4234447.06,4267100.19,0,,Wei Zhang,5029,6,98.54
Germany,West,City_93,4602279,2001,06/07/2001,2121485.8,2148815.92,175,In Progress,Wei Zhang,2698,29,71.74
USA,Central,City_408,287490,2009,24/01/2009,4632806.74,4661981.41,,,,9339,24,82.62
UK,North,City_87,1370835,2017,23/12/2017,2283052.29,2310627.1,,Completed,,6702,47,67.64
South Africa,West,City_53,1231902,2020,10/10/2020,546629.5,583787.72,0,In Progress,,7474,7,91.7
UK,West,City_432,3419399,2000,10/02/2000,4262142.9,4283438.99,,Delayed,Ali Khan,1142,9,73.81
UK,South,City_144,4098845,2017,02/01/2017,3691970.84,3701998.97,0,Completed,,1688,44,82.18
Brazil,Central,City_318,,2003,05/10/2003,968637.36,969839.07,0,In Progress,Jane Smith,4335,8,96.04
Germany,South,City_252,1591459,2008,11/01/2008,987215.36,1012146.73,,,Ali Khan,2729,23,65.05
UK,Central,City_36,2514529,2006,20/08/2006,711695.06,728822.71,,Completed,,5172,50,90.65
Brazil,North,City_185,2652020,2006,04/10/2006,4093480.24,4132559.06,66,,,9050,48,86.08
China,East,City_327,360636,2002,01/05/2002,1406419.05,1414644.16,111,Cancelled,,9617,40,88.7
Canada,East,City_145,31925,2021,24/05/2021,2258026.23,2276709.71,,Cancelled,Jane Smith,7862,18,92.66
South Africa,Central,City_57,1394874,2001,04/07/2001,804238.25,846808.77,,In Progress,,2718,37,92.19
Canada,Central,City_159,4752187,1999,04/04/1999,541840.46,583608.23,14,,Jane Smith,5766,39,77.4
Brazil,Central,City_189,967385,2014,13/04/2014,4550446.85,4555300.6,0,,,4464,36,83.51
South Africa,West,City_239,2728193,2007,27/12/2007,3703159.5,3721304,85,Completed,Jane Smith,1442,47,69.12
Australia,Central,City_302,20375,2018,06/04/2018,3645905.93,3666529.35,98,,,353,23,76.75
India,Central,City_180,4238054,1998,06/07/1998,3252027.52,3294021.58,0,,Ali Khan,5831,8,71.34
Germany,North,City_169,553002,2003,02/10/2003,4522813.29,4564429.5,0,,,7524,22,57.22
Germany,South,City_290,29302,2002,25/11/2002,3341011.32,3336445.29,,Delayed,,8917,23,96.97
Nigeria,South,City_440,2983192,2014,24/02/2014,3590178.44,3611909.73,37,Cancelled,John Doe,2041,16,97.49
UK,West,City_407,4652835,2005,01/02/2005,1956166.64,1970142.06,,Unknown,Jane Smith,5454,20,92.83
Nigeria,East,City_255,1334299,1996,09/10/1996,3066497.08,3080617.25,0,Delayed,,8257,46,
South Africa,East,City_209,2979221,1997,06/06/1997,370756.9,373468.2,,,Wei Zhang,2704,35,91.64
India,Central,City_128,4990032,1997,27/11/1997,4810715.42,4822332.69,,Completed,John Doe,3274,32,64.66
Germany,North,City_243,3084256,1999,25/11/1999,2748255.09,2775010.14,,Delayed,,8086,9,99.12
UK,East,City_122,1486342,2003,16/10/2003,,4123310.7,,,John Doe,7869,11,96.43
Brazil,West,City_43,697280,2008,13/02/2008,4540992.16,4586831.42,,Cancelled,Wei Zhang,6631,44,87.94
Nigeria,South,City_353,361759,2022,20/02/2022,683845.82,699276.6,141,Delayed,Jane Smith,3449,48,59.37
Brazil,East,City_262,1936714,2004,20/05/2004,3171303.26,3176062.29,0,In Progress,,3752,24,61.49
South Africa,West,City_43,1774085,2018,20/01/2018,984273.91,980342.22,0,Completed,Ali Khan,6945,30,63.08
USA,South,City_108,812501,2011,06/08/2011,2784933.78,2784586.51,,,John Doe,3579,20,84.61
Canada,West,City_295,1533302,2016,27/01/2016,1626398.89,1636996.1,0,Cancelled,Jane Smith,6829,31,71.93
UK,East,City_205,3314436,2003,14/12/2003,3809713.57,3830608.75,0,,Wei Zhang,6168,18,55.98
India,Central,City_385,45023,2000,12/10/2000,4221091.16,4267196.46,112,In Progress,Jane Smith,4327,18,85.14
Australia,South,City_287,3902985,2022,01/03/2022,2750546.71,2775014.71,176,In Progress,,6551,12,61.43
UK,North,City_232,1013160,2005,23/11/2005,3382409.98,3385781.61,23,Cancelled,Ali Khan,3101,44,93.85
China,Central,City_222,3671883,2000,05/10/2000,1913444.15,1922653.72,0,,,8031,35,67.34
South Africa,West,City_57,4969460,2019,03/02/2019,1654442.16,1660387.16,,Cancelled,Ali Khan,1776,17,74.65
Canada,Central,City_421,3193853,2002,07/02/2002,1753116.8,1796411.18,,,Jane Smith,8223,26,99.62
Germany,East,City_40,2080882,2010,25/08/2010,4750266.37,4768852.78,0,,John Doe,9175,41,60.96
Germany,North,City_389,3211222,2017,27/08/2017,2499893.89,2503094.3,0,In Progress,Ali Khan,1136,30,81.29
Germany,West,City_424,2419244,2007,02/12/2007,3821485.79,3821304.95,,Delayed,Ali Khan,5501,50,76.8
USA,South,City_342,2927358,2017,21/11/2017,4554101.87,4589933.61,148,,Ali Khan,9351,23,89.25
Brazil,South,City_402,4872934,2010,17/09/2010,3047559.59,3056677.63,,In Progress,,9977,21,65.04
Canada,North,City_12,96436,2013,19/02/2013,1909199.12,1956301.9,0,Delayed,Wei Zhang,2732,34,95.52
India,North,City_323,3182358,1996,19/12/1996,615658.97,641221.63,,,,6288,25,91.21
India,North,City_301,4835285,1999,12/01/1999,4803734.32,4835466.14,0,Completed,Jane Smith,9428,1,94.76
USA,Central,City_291,2351038,2000,28/09/2000,4652942.7,4677948.52,,,,7968,11,51.63
Germany,West,City_87,682070,2001,19/07/2001,1904707.51,1904325.31,0,Completed,Ali Khan,6367,39,81.79
Brazil,East,City_330,3908327,2017,24/12/2017,3746385.49,3794148.14,,Completed,Wei Zhang,9214,13,82.64
Canada,West,City_110,2063384,1998,11/11/1998,1416836.73,1439742.34,39,Completed,,1661,36,94.56
India,South,City_473,569547,2001,06/09/2001,3566007.28,3577118.79,43,Cancelled,Wei Zhang,6322,39,74.85
China,West,City_264,1044594,2020,19/02/2020,1415515.92,1447176.84,,In Progress,Ali Khan,1133,23,57.84
India,North,City_3,3338196,2011,28/07/2011,326295.34,326441.42,4,Completed,Wei Zhang,4156,17,
Canada,North,City_360,513671,2015,14/01/2015,1288495.58,1327018.88,156,Completed,John Doe,8212,2,69.27
USA,West,City_11,,2020,13/09/2020,4845789.78,4877135.75,34,,,8710,40,
USA,South,City_357,1496043,1998,26/05/1998,2020232.91,2053072.7,0,Delayed,Jane Smith,7865,13,72.48
Nigeria,North,City_325,2290969,2010,12/08/2010,4461805.1,4500976.42,43,Completed,John Doe,7768,40,63.44
China,North,City_335,2521419,2018,16/07/2018,2269943.17,2270932.16,0,Delayed,Wei Zhang,5177,48,97.42
Brazil,West,City_50,2362260,2013,24/02/2013,3107770.85,3117645.24,0,Completed,Wei Zhang,7445,50,59.5
Australia,South,City_364,3268260,2019,23/11/2019,1674083.74,1717537.67,149,Cancelled,Jane Smith,5658,12,
Brazil,East,City_162,270312,2013,16/01/2013,4207678.52,4246776.44,43,,Ali Khan,8810,3,67.79
India,North,City_222,2883281,1996,18/04/1996,2917758.5,2965588.25,118,Cancelled,Ali Khan,1388,16,80.24
Germany,North,City_231,3711327,2001,03/01/2001,4751840.87,4796419.11,,Delayed,Jane Smith,8479,12,57.25
Australia,East,City_203,3109854,2007,14/11/2007,2394765.65,2439771.87,0,In Progress,,88,33,84.17
Canada,West,City_346,1460718,1999,01/10/1999,2823933.9,2858802.09,139,In Progress,,9200,50,76.08
UK,Central,City_51,4318170,2014,15/11/2014,2686737.36,2683283.89,0,,,9272,11,
Germany,North,City_281,1401539,2005,26/12/2005,4041632.27,4048869.52,123,In Progress,,4269,9,77.69
UK,Central,City_237,4827239,2018,02/04/2018,2726964.47,2726044.39,112,Delayed,Jane Smith,2176,40,66.14
Canada,East,City_1,3596544,2007,02/01/2007,4066797.04,4096840.6,0,Completed,,1070,3,89.34
South Africa,South,City_450,2954425,1999,19/09/1999,4750669.26,4756009.65,0,Cancelled,,4215,15,64.34
USA,Central,City_16,2455123,2022,05/02/2022,3310621.05,3341704.43,118,Completed,,5027,31,74.87
USA,Central,City_65,2627607,2008,01/06/2008,310492.6,316571.98,0,Completed,Jane Smith,4083,22,56.56
USA,West,City_238,464280,2016,23/07/2016,3192920.7,3218843.53,0,Delayed,,5536,4,80.15
Brazil,East,City_294,1884328,2013,13/11/2013,4749521.06,4783013.81,0,Completed,Ali Khan,9823,37,98.29
China,Central,City_240,1203393,2001,19/04/2001,3179145.34,3204257.29,,In Progress,John Doe,2241,8,89
Nigeria,Central,City_144,1780756,1998,01/09/1998,1259601.13,1256483.32,58,Cancelled,Jane Smith,9152,20,76.52
Canada,Central,City_279,3944946,2005,01/06/2005,3135405.9,3169645.19,164,,Wei Zhang,4852,20,51.44
UK,West,City_447,3358626,2013,12/10/2013,4667669.38,4704912.27,84,Delayed,John Doe,4870,14,58.67
Nigeria,West,City_5,2781099,2011,25/04/2011,4700356,4702489.73,,,Jane Smith,4477,47,68.03
Australia,Central,City_89,3269189,2012,02/08/2012,3738578.53,3785577.63,,,,6789,35,82.7
Germany,North,City_22,4769167,1997,15/05/1997,4870687.34,4868352.62,34,Completed,,9026,35,90.37
Australia,East,City_431,1217053,2003,02/06/2003,604762.05,623013.31,,Delayed,Ali Khan,2640,49,73.23
Nigeria,Central,City_312,134761,2008,17/09/2008,3473070.97,3499501.88,0,Cancelled,,572,25,91.34
USA,Central,City_64,3227457,2010,22/02/2010,1684262.59,1700520.11,0,,Ali Khan,2103,4,73.24
UK,North,City_74,1463616,2019,01/02/2019,3280132.82,3315052.72,,Completed,,8064,13,76.07
Brazil,Central,City_349,2166000,2005,11/02/2005,2665638.84,2708505.89,0,Completed,Ali Khan,1126,26,59.99
Nigeria,South,City_124,4424972,2010,08/08/2010,3366346.13,3364775.87,0,Completed,Ali Khan,7476,19,76.26
Nigeria,West,City_297,2005013,2004,08/01/2004,3287268.56,3328473.65,138,,,3512,21,82.5
Germany,North,City_50,368046,2002,12/05/2002,4257599.68,4264774.08,,In Progress,John Doe,1285,38,
UK,South,City_198,3347699,2015,26/09/2015,1057268.45,1077430.69,0,Delayed,Ali Khan,3577,27,77.38
Brazil,East,City_148,4667291,2016,14/12/2016,3868054.22,3891080.84,,Completed,Jane Smith,5561,31,53.59
Canada,West,City_342,299595,1997,28/04/1997,4844063.39,4839287.71,0,In Progress,John Doe,3404,6,68.53
Brazil,South,City_68,2911672,2002,26/12/2002,2200355.47,2221109.75,,,Wei Zhang,2039,8,94.32
UK,East,City_130,2740979,2007,21/11/2007,3632069.73,3631021.16,,In Progress,Wei Zhang,5754,29,92.88
Australia,East,City_127,2469538,2019,15/05/2019,604676.1,627646.99,,Cancelled,,82,47,70.35
Brazil,Central,City_324,4158047,2021,04/08/2021,3965771.52,3999508.25,0,Cancelled,,5964,36,71.85
India,West,City_60,1268802,2021,25/09/2021,832044.25,846197.68,,Delayed,John Doe,1829,25,55.16
South Africa,East,City_120,2967744,2020,23/10/2020,4273149.98,4306079.57,,Completed,Jane Smith,1468,42,84.3
Germany,Central,City_66,4507848,2011,02/06/2011,4345227.06,4349307.79,28,,,3519,34,
Brazil,Central,City_235,1924168,2015,18/08/2015,,2493436.01,8,Delayed,John Doe,3475,38,59.52
Nigeria,North,City_39,624765,2013,20/01/2013,1592110.17,1617003,0,Delayed,,3920,18,71.74
China,South,City_48,2971034,1998,17/11/1998,86345.29,87669.34,0,Cancelled,John Doe,7805,50,61.37
Australia,West,City_393,1570853,2012,27/06/2012,2007474.13,2026856.51,47,,,611,23,80.16
Australia,South,City_254,1969326,1997,09/05/1997,3755039.1,3791619.24,90,,John Doe,5576,25,98.25
USA,East,City_208,,2001,23/07/2001,1954420.1,1987839.01,0,Delayed,,5939,18,62.88
Canada,South,City_14,1171741,2016,11/08/2016,2850335.5,2873492.15,0,,Wei Zhang,9731,14,79.88
Canada,East,City_69,2603713,2021,16/03/2021,975142.83,989859.13,,In Progress,Wei Zhang,5224,47,55.04
Australia,South,City_366,57502,2005,27/06/2005,3201448.04,3219042.78,,Cancelled,Wei Zhang,8106,50,73.33
Brazil,South,City_194,3989408,2019,04/04/2019,492328.87,496798.05,67,Cancelled,,5067,35,
Brazil,East,City_292,1052645,2018,07/07/2018,2910142.02,2946020.13,8,In Progress,Ali Khan,223,39,70.41
Australia,North,City_315,48382,2019,18/03/2019,2187623.83,2219090.01,0,,,5170,18,69.91
Canada,West,City_192,2498736,2012,22/07/2012,4083782.45,4095645.29,,In Progress,Jane Smith,9070,28,76.44
Australia,Central,City_223,3579219,2001,18/03/2001,3618427.32,3626377.21,81,Delayed,,807,8,89.76
South Africa,Central,City_383,2003583,2013,17/10/2013,3621153.33,3649414.93,27,,,4899,14,53.48
India,North,City_349,1185382,2004,22/10/2004,1085010.15,1107507.42,,Completed,Jane Smith,4117,40,75.71
Germany,South,City_475,80618,1998,04/11/1998,2496388.76,2542244.34,0,Cancelled,,5247,36,77.96
UK,North,City_47,2972884,2009,16/04/2009,1530968.25,1560849.66,31,,Jane Smith,7264,26,65.67
China,South,City_273,3983356,1998,16/02/1998,2729749.39,2725050.54,0,,Ali Khan,561,44,99.31
South Africa,South,City_321,2939522,2002,01/01/2002,4324736.09,4361194.58,147,Cancelled,Jane Smith,5261,21,86.84
India,South,City_427,2778052,2017,17/01/2017,2113620.71,2134185.75,,Unknown,Wei Zhang,3418,23,84.2
Nigeria,Central,City_252,4280774,2007,27/03/2007,3376618.17,3376094.45,0,Delayed,Wei Zhang,3626,38,52.03
Germany,North,City_260,4285075,2014,12/07/2014,4743687.54,4779719.28,0,Completed,Jane Smith,9435,2,54.95
Australia,North,City_400,3843917,2020,24/07/2020,1329541.82,1334625.62,81,Completed,Jane Smith,9963,34,54.91
Brazil,East,City_142,1698304,2018,26/02/2018,3758477.56,3757533.13,44,In Progress,John Doe,1919,4,
China,North,City_401,3105114,1996,24/06/1996,4438801.33,4469283.84,0,In Progress,,8942,33,
Germany,South,City_304,3931994,2000,01/04/2000,2551920.79,2568384.7,0,In Progress,Ali Khan,9410,24,93.85
India,Central,City_489,3760689,2009,03/04/2009,13345.56,34540.57,,Delayed,Jane Smith,9770,49,95.41
Brazil,North,City_13,3615533,2016,01/12/2016,2506347.16,2538961.18,0,In Progress,,2840,20,81.24
Australia,North,City_137,3015004,2006,01/04/2006,2231758.98,2277581.83,0,Delayed,Wei Zhang,8142,15,77.87
Australia,Central,City_472,3144206,2013,05/04/2013,411871.92,436002.05,,Delayed,,5410,4,77.13
South Africa,North,City_464,1927748,2008,20/08/2008,814354.3,825273.18,,,Wei Zhang,5949,27,92.22
South Africa,South,City_250,2910988,2012,09/07/2012,1999218.27,2034797.02,,,,7920,49,57.16
Brazil,South,City_15,4519861,2013,28/08/2013,1016666.64,1045191.92,94,In Progress,John Doe,5531,48,74.42
Canada,East,City_362,2062572,2016,20/03/2016,760052.01,799453.99,175,,John Doe,5716,25,64.59
UK,East,City_432,2546714,2022,20/06/2022,3287010,3328454.55,,Delayed,Ali Khan,457,45,54.76
Australia,Central,City_51,3680343,1996,09/01/1996,3917321.18,3966543.72,,In Progress,John Doe,329,24,81.74
UK,South,City_20,1094986,2017,10/12/2017,97701.35,141221.09,0,,John Doe,1106,13,87.02
Canada,East,City_3,3234187,2021,10/03/2021,468871.92,515684.43,,In Progress,,6680,24,88.54
USA,East,City_306,672635,1997,14/12/1997,4690472.31,4692424.84,0,,John Doe,8200,29,97.11
China,West,City_48,3867641,2005,14/08/2005,2181001.78,2202708.88,110,In Progress,,316,27,58.33
Nigeria,West,City_127,1748490,2015,06/12/2015,852716.38,878437.14,150,,Ali Khan,3531,49,98.51
Brazil,North,City_386,247631,2012,04/10/2012,2059505.43,2102444.04,27,Delayed,John Doe,2993,32,54.52
Nigeria,West,City_141,4027218,2016,20/10/2016,4458230.27,4501419.92,0,In Progress,John Doe,1811,18,95.77
Nigeria,North,City_239,744809,2017,27/12/2017,4177290.27,4177869.73,104,,,8208,31,80.81
Canada,South,City_305,1823148,1999,22/09/1999,2310678.9,2341233.81,,Delayed,Jane Smith,6753,40,86.28
India,North,City_239,426899,2002,12/08/2002,2675960.1,2680212.82,,In Progress,Jane Smith,7682,17,87.89
Nigeria,South,City_226,3957501,2006,25/09/2006,1667637.97,1710004.65,167,Cancelled,John Doe,5804,41,55.99
China,West,City_136,1082931,2000,13/04/2000,76565.1,87324.87,79,Cancelled,,5628,26,99.83
UK,Central,City_3,3894395,1998,11/09/1998,1888429.91,1935255.14,,,Wei Zhang,7360,21,51.77
Canada,Central,City_95,1427378,2022,10/09/2022,3034542.62,3029714.91,0,,Wei Zhang,9981,36,71.19
Australia,South,City_489,4373598,2009,15/06/2009,1375725.83,1387276.68,,Delayed,Jane Smith,9747,3,63.11
USA,East,City_115,3379292,2017,14/08/2017,2528580.97,2536328.91,,Delayed,John Doe,3198,15,70.37
USA,North,City_324,2757081,2020,07/11/2020,749207.19,760015.61,,Delayed,Wei Zhang,2327,5,56.02
Canada,Central,City_265,3592227,1999,09/08/1999,4112772.5,4115650.31,141,Completed,John Doe,372,8,79.1
South Africa,South,City_465,,2005,10/07/2005,1195643.85,1215284.7,,Completed,,8171,13,94.52
India,North,City_247,4548029,2013,07/03/2013,4456256.73,4453125.62,,Delayed,Ali Khan,3932,45,89.7
Brazil,South,City_475,3852078,2006,05/04/2006,3673223.63,3683939.05,100,,Wei Zhang,6204,9,60.55
China,South,City_87,3989842,2010,04/09/2010,2505617.12,2526581.68,,Cancelled,John Doe,8314,15,92.53
USA,East,City_101,4271022,2012,03/03/2012,4607496.38,4619196.87,0,Completed,Ali Khan,7167,35,79.17
Canada,West,City_72,2915866,2010,23/03/2010,3448392.43,3466213.87,6,Completed,,8264,8,83.27
South Africa,East,City_332,3645491,2017,28/06/2017,1757323.88,1771919.09,,,,1825,31,90.97
Canada,Central,City_104,707438,2003,06/04/2003,4106906.28,4122189.35,,Delayed,,3665,4,71.69
USA,West,City_233,3264780,2006,04/11/2006,2377839.92,2387594.14,0,,John Doe,3619,18,95.15
Nigeria,North,City_407,2329607,2001,19/01/2001,157622.05,166907.82,41,,John Doe,2554,37,53.24
South Africa,West,City_238,4020316,2019,03/03/2019,588042.39,605801.53,,In Progress,Jane Smith,4522,23,65.72
USA,Central,City_52,407645,2002,20/12/2002,393266.28,407541.41,0,,John Doe,8904,12,51.15
UK,Central,City_330,3086132,2008,22/05/2008,2323231.88,2320023.53,153,In Progress,,281,14,66.75
Germany,West,City_25,4042299,2012,04/01/2012,2429800.92,2440565.9,66,,,7648,49,79.86
Canada,North,City_362,2534232,1997,26/02/1997,735990.26,783748.87,,,Jane Smith,354,9,97.96
China,West,City_229,4024975,2017,23/07/2017,3106436.49,3113940.66,,Delayed,Ali Khan,8719,16,63.42
Brazil,East,City_164,4078041,2007,12/04/2007,1268085.69,1301924.11,,Completed,,9517,42,64.61
Nigeria,South,City_384,2527250,2019,27/06/2019,1375644.92,1381676.94,,Cancelled,John Doe,754,6,77.68
South Africa,South,City_386,2160367,2010,10/01/2010,1777464.99,1785245.09,121,Cancelled,Jane Smith,9013,27,62.77
India,West,City_290,4533966,1997,04/09/1997,17424.69,35696.36,,Cancelled,Jane Smith,8627,17,85.8
UK,South,City_337,4730680,2019,19/10/2019,,465163.09,0,,Ali Khan,1658,46,64.97
South Africa,North,City_238,1928855,2002,28/07/2002,4368593.62,4411711.89,0,In Progress,,7251,40,99.42
Australia,North,City_296,853596,1998,24/01/1998,3680160.73,3724878.09,0,Completed,Ali Khan,4652,28,85.16
Nigeria,East,City_220,1184493,1999,17/02/1999,1323110.95,1344303.04,,,Ali Khan,2569,16,56.48
Australia,North,City_81,1359930,2002,22/12/2002,3995027.61,4031000.27,117,,Wei Zhang,378,37,98.42
South Africa,North,City_14,451341,2010,02/05/2010,567909.47,578433.39,50,,Jane Smith,3481,17,61.22
Nigeria,North,City_233,2569007,1997,17/06/1997,260598.66,294573.22,0,,Wei Zhang,6234,21,89.67
Australia,North,City_402,1424729,2002,18/12/2002,2888111.88,2887307.02,0,Delayed,Jane Smith,4563,19,56.43
Germany,Central,City_467,3200465,1998,27/03/1998,1053696.98,1091321.75,91,Completed,Jane Smith,3285,36,74.14
Germany,South,City_257,1704674,1998,19/04/1998,2225976.42,2246567.43,48,Delayed,John Doe,289,43,83.79
South Africa,Central,City_330,4309348,1999,04/09/1999,4428739.87,4434639.43,,,,6526,8,95.1
UK,West,City_149,2751602,2009,16/02/2009,2052456.73,2100921.03,0,In Progress,John Doe,8133,2,85.87
Nigeria,East,City_78,3555215,2015,14/05/2015,4786341.74,4784560.78,,,Ali Khan,9648,14,78.14
Brazil,South,City_240,2884074,2007,20/07/2007,4518247.97,4552342.97,11,,,7413,34,79.62
South Africa,West,City_258,2722692,2004,19/06/2004,3174651.29,3200909.38,,Delayed,John Doe,3872,39,73.61
India,North,City_134,2720461,2004,24/01/2004,2618318.33,2614233.84,,In Progress,,8238,8,67.48
UK,Central,City_204,383157,2010,11/08/2010,2479955.13,2509741.98,143,,,2620,38,73.79
South Africa,West,City_268,2825630,2021,02/02/2021,1806376.64,1830830.88,129,Cancelled,Wei Zhang,9431,10,90.72
India,Central,City_234,1683834,2022,25/02/2022,1983638.62,1983669.99,0,,Jane Smith,251,7,84.27
Australia,West,City_28,3854524,2007,08/10/2007,4011920.92,4053614.59,0,In Progress,,5452,34,
USA,North,City_157,2674868,2019,08/10/2019,1847616.28,1852859.8,162,Completed,John Doe,7079,27,53.09
Canada,North,City_381,1959031,1996,27/12/1996,61914.67,68511.33,,,John Doe,8249,5,
UK,East,City_105,1289207,1997,20/11/1997,4716597.97,4723083.08,68,Cancelled,,932,31,
Australia,East,City_36,830430,2016,20/12/2016,1471084.14,1516547.17,,Completed,,7159,20,64.8
Australia,East,City_228,2598555,2003,12/12/2003,4735995.97,4766100.23,,Delayed,John Doe,3661,22,89.64
Germany,East,City_133,499422,2006,28/03/2006,406026.43,405911.9,0,,,6288,4,
Canada,East,City_341,1495232,2015,22/01/2015,4554196.3,4559732.63,,Delayed,Jane Smith,3430,31,50.98
Germany,West,City_210,2101782,2018,20/02/2018,266663.83,303501.19,79,Completed,,6480,40,61.2
Canada,Central,City_391,213957,1997,19/06/1997,1271862.52,1300141.15,18,,Ali Khan,8890,27,99.38
Nigeria,Central,City_206,1468351,2002,04/11/2002,2947094.16,2995630.09,26,,Jane Smith,9072,17,91.9
China,West,City_12,,2015,03/05/2015,2118710.88,2143392.7,117,Delayed,Ali Khan,8989,9,72.51
UK,South,City_418,4401310,2001,10/08/2001,4446561.32,4495335.51,,,Ali Khan,6615,8,79.94
Germany,South,City_8,3037391,2016,23/03/2016,1373533.57,1374744.99,,,Ali Khan,5598,41,93
Canada,East,City_335,917619,2000,01/11/2000,535577.28,537170.26,160,Delayed,Ali Khan,1975,49,
South Africa,East,City_20,3929230,2021,08/03/2021,1308898.03,1343388.9,86,Completed,Ali Khan,2598,18,57.4
Brazil,North,City_93,193632,2015,14/01/2015,347404.26,390140.97,0,Completed,Jane Smith,2673,39,63.56
Nigeria,South,City_23,2779158,2019,09/12/2019,1199114.82,1205635.48,,,Ali Khan,2107,6,77.37
China,South,City_350,668816,2017,27/07/2017,2238522.06,2238221.9,17,In Progress,,6629,20,60.52
UK,South,City_249,1000617,2011,13/07/2011,745704.85,746088.17,31,Delayed,Ali Khan,6730,44,56.78
China,North,City_26,3353156,2000,23/06/2000,3187677.06,3212851.35,175,Completed,John Doe,2374,2,90.42
South Africa,North,City_229,2731173,2004,12/08/2004,3847448.24,3874077.37,128,Cancelled,John Doe,6516,17,97.65
Germany,West,City_143,2016468,2001,28/07/2001,4352137.16,4347798.5,,Cancelled,Jane Smith,1995,41,
Australia,North,City_404,1000177,2022,01/10/2022,1733775.59,1740138.68,,Delayed,Ali Khan,7374,26,50.21
Canada,Central,City_297,1095597,2012,24/08/2012,4000024.67,4035016.99,148,In Progress,John Doe,3262,26,93.99
USA,East,City_328,1035723,2014,15/10/2014,2682403.46,2690329.09,0,In Progress,Wei Zhang,3075,16,75.36
Canada,South,City_148,3314548,2010,05/01/2010,3403544.76,3417308.42,0,Unknown,,4737,24,72
Brazil,West,City_492,2560478,2022,11/02/2022,2244321.84,2274550.31,,Delayed,,4656,13,75.24
Canada,Central,City_343,260681,2019,19/08/2019,3800676.55,3817439.11,,Cancelled,,7569,1,98.07
USA,East,City_219,4852390,1997,05/06/1997,1643955.04,1644742.61,100,Delayed,Jane Smith,4280,15,92.62
Australia,North,City_257,3263004,2015,13/03/2015,3043611.01,3058578.27,,Completed,,7369,2,78.71
India,South,City_299,1719860,2021,28/07/2021,889108.11,903264.32,,In Progress,Ali Khan,3636,6,64.56
Nigeria,Central,City_184,3332038,2021,18/04/2021,3523594.54,3564596.5,,Completed,Ali Khan,2196,34,82.46
Germany,West,City_411,304918,2000,07/09/2000,1172499.98,1171036.16,,Cancelled,,1818,1,68.65
Canada,South,City_359,1445620,2007,02/06/2007,4222561.2,4232250.74,0,,Jane Smith,8123,12,99
USA,North,City_65,973766,2019,24/12/2019,3208559.17,3203567.79,0,Delayed,Ali Khan,106,47,
South Africa,South,City_279,3040150,2015,22/05/2015,3259282.93,3289965.58,43,,Ali Khan,9189,45,
Australia,East,City_313,4805576,2000,17/04/2000,2466452.43,2488264.01,38,In Progress,,2761,48,63.22
UK,Central,City_119,3763018,1997,10/09/1997,1776152.84,1771682.68,,,,2211,16,78.91
UK,South,City_52,804325,2020,08/02/2020,4863390.96,4883155.05,180,,Ali Khan,2996,28,52.9
UK,North,City_277,4048498,2003,15/07/2003,862948.69,891487.64,126,,Ali Khan,3043,27,84
Germany,East,City_108,1746952,2007,06/08/2007,1014176.6,1056137.81,134,,Ali Khan,5294,20,65.45
UK,West,City_403,758837,1998,23/05/1998,1629240.16,1662614.02,29,Delayed,Wei Zhang,872,18,98.55
Australia,North,City_181,1943655,2011,10/02/2011,3616045.41,3662957.29,,Delayed,Ali Khan,5485,49,93.06
China,North,City_145,4732456,1996,03/10/1996,2767692.48,2815035.94,0,Cancelled,Wei Zhang,7600,6,99.99
Canada,South,City_488,1709455,2001,18/06/2001,1105512.73,1147167.98,45,,,1352,39,60.05
South Africa,West,City_169,1595063,2016,12/05/2016,4810199.62,4824647.93,0,Completed,Wei Zhang,6193,13,
USA,West,City_265,1664231,1998,13/12/1998,3458783.43,3463302.9,,Completed,,4691,46,72.54
India,West,City_337,1459206,1997,11/11/1997,1565705.82,1560708.09,,Cancelled,,1527,1,86.66
UK,North,City_390,4999777,2021,18/05/2021,92478.92,131503.95,0,Cancelled,John Doe,2660,9,76.49
Australia,South,City_413,3702869,2020,10/04/2020,3785205.16,3811076.33,166,Completed,Ali Khan,9725,29,94.53
USA,Central,City_67,4071318,2017,23/03/2017,4260117.09,4282360.92,32,Completed,,491,25,84.84
India,South,City_255,247956,2001,07/10/2001,4585126.64,4627597.94,,Delayed,,7316,21,85.95
Australia,North,City_422,3507309,2004,11/01/2004,1746385.2,1750024.73,,In Progress,Wei Zhang,7652,15,98.28
